SeqNum,PlateBoundIdentifer,PlateBoundContinuity,StartLong,StartLat,FinalLong,FinalLat,StepLength(km),AzimuthCenter,VelocityLeft,VelocityAzimuth,VelocityDivergent,VelocityRightLateral,Elevation,SeafloorAge,StepClass,StepContinuity,Orogen,geometry
4751,PS-MA,True,144.626,18.359,144.601,18.756,44.2,357,30.5,247,28.7,-10.2,-4147,220,OSR,True,False,"LINESTRING (144.626 18.359, 144.601 18.756)"
4752,PS-MA,True,144.601,18.756,144.543,19.073,35.8,350,29.1,246,28.2,-7.0,-4114,220,OSR,True,False,"LINESTRING (144.601 18.756, 144.543 19.073)"
4753,PS-MA,True,144.543,19.073,144.527,19.123,5.9,343,28.3,246,28.1,-3.7,-4066,220,OSR,True,False,"LINESTRING (144.543 19.073, 144.527 19.123)"
4754,PS-MA,True,144.527,19.123,144.252,19.725,72.9,337,26.9,246,26.9,-0.4,-3587,220,OSR,True,False,"LINESTRING (144.527 19.123, 144.252 19.725)"
4755,PS-MA,True,144.252,19.725,144.137,19.753,12.4,285,25.4,246,15.8,19.9,-4136,220,OSR,True,False,"LINESTRING (144.252 19.725, 144.137 19.753)"
4756,PS-MA,True,144.137,19.753,144.083,19.858,12.9,334,25.0,246,25.0,1.0,-4407,220,OSR,True,False,"LINESTRING (144.137 19.753, 144.083 19.858)"
4757,PS-MA,True,144.083,19.858,143.97,20.111,30.5,337,24.3,246,24.3,-0.4,-4871,220,OSR,True,False,"LINESTRING (144.083 19.858, 143.97 20.111)"
4758,PS-MA,True,143.97,20.111,143.842,20.418,36.6,339,23.0,246,23.0,-0.9,-3940,220,OSR,True,False,"LINESTRING (143.97 20.111, 143.842 20.418)"
4759,PS-MA,True,143.842,20.418,143.575,20.397,27.9,265,22.2,247,6.8,21.1,-3604,220,OTF,False,False,"LINESTRING (143.842 20.418, 143.575 20.397)"
4760,PS-MA,True,143.575,20.397,143.493,20.532,17.3,330,21.7,249,21.5,3.1,-4241,220,OSR,False,False,"LINESTRING (143.575 20.397, 143.493 20.532)"
4761,PS-MA,True,143.493,20.532,143.392,20.728,24.2,334,21.0,249,20.9,1.7,-4204,220,OSR,True,False,"LINESTRING (143.493 20.532, 143.392 20.728)"
4762,PS-MA,True,143.392,20.728,143.281,20.962,28.4,336,20.0,249,20.0,1.0,-4075,220,OSR,True,False,"LINESTRING (143.392 20.728, 143.281 20.962)"
4763,PS-MA,True,143.281,20.962,143.321,21.061,11.7,21,19.3,249,14.3,-12.9,-4273,220,OSR,True,False,"LINESTRING (143.281 20.962, 143.321 21.061)"
4764,PS-MA,True,143.321,21.061,143.28,21.32,29.2,352,18.6,248,18.1,-4.4,-3752,220,OSR,True,False,"LINESTRING (143.321 21.061, 143.28 21.32)"
4765,PS-MA,True,143.28,21.32,143.218,21.659,38.2,350,17.4,247,17.0,-4.0,-3225,220,OSR,True,False,"LINESTRING (143.28 21.32, 143.218 21.659)"
4766,PS-MA,True,143.218,21.659,143.15,21.928,30.7,347,16.2,246,15.9,-3.0,-3121,220,OSR,True,False,"LINESTRING (143.218 21.659, 143.15 21.928)"
4767,PS-MA,True,143.15,21.928,142.997,22.139,28.2,326,15.1,246,14.9,2.6,-3624,220,OSR,True,False,"LINESTRING (143.15 21.928, 142.997 22.139)"
4768,PS-MA,True,142.997,22.139,142.774,22.377,35.0,319,14.0,247,13.3,4.3,-3509,220,OSR,True,False,"LINESTRING (142.997 22.139, 142.774 22.377)"
4769,PS-MA,True,142.774,22.377,142.56,22.662,38.6,325,12.7,248,12.4,2.9,-2923,220,OSR,True,False,"LINESTRING (142.774 22.377, 142.56 22.662)"
4770,PS-MA,True,142.56,22.662,142.257,23.009,49.5,321,11.2,250,10.5,3.7,-2804,220,CRB,False,False,"LINESTRING (142.56 22.662, 142.257 23.009)"
4771,PS-MA,False,142.257,23.009,142.886,23.701,100.2,40,9.4,243,3.7,-8.7,-2837,220,CRB,False,False,"LINESTRING (142.257 23.009, 142.886 23.701)"
4772,PS-MA,True,142.886,23.701,143.522,24.391,100.3,40,8.7,220,0.0,-8.7,-5186,220,OTF,False,False,"LINESTRING (142.886 23.701, 143.522 24.391)"
